id,water,uv,area,fertilizer_usage,yield,pesticides,region,categories,y/area,Profit Ratio
169,5.615,65.281,3.23,0,7.977,8.969,0,"b,a,c",2.469659443,0.31
476,7.044,73.319,9.081,0,23.009,7.197,0,"c,a,d",2.533751789,0.11
152,5.607,60.038,2.864,2,23.019,7.424,0,"d,a",8.037360335,0.35
293,9.346,64.719,2.797,2,28.066,1.256,0,d,10.03432249,0.36
10,7.969,64.719,5.407,1,29.14,0.274,0,"c,d",5.389310154,0.18
564,5.92,78.735,5.245,2,29.507,1.136,0,b,5.625738799,0.19
941,9.07,71.769,4.13,2,29.673,2.075,0,"b,c,a,d",7.184745763,0.24
303,12,77.619,6.824,1,30.967,1.497,0,"a,c,b,d",4.537954279,0.15
165,11.482,65.269,2.798,4,31.438,2.334,0,"c,b",11.23588277,0.36
351,3.819,66.138,6.259,0,32.389,0.948,0,"d,b,c",5.174788305,0.16
528,4.259,66.138,4.088,4,35.516,0.739,0,"b,c,a",8.687866928,0.24
256,7.097,70.294,4.209,3,36.232,1.771,0,"b,c",8.60822048,0.24
33,8.113,85.449,4.057,3,36.945,1.679,0,"d,a",9.106482623,0.25
518,6.11,89.28,7.367,1,37.244,0.321,0,"c,b,d",5.05551785,0.14
939,6.609,106.31,7.918,0,37.575,1.805,0,"c,a",4.745516545,0.13
18,14,77.431,6.779,0,38.773,4.901,0,"b,d,a",5.719575159,0.15
952,16,70.481,6.898,0,39.184,5.035,0,"c,a,b,d",5.680487098,0.14
747,8.132,90.752,6.991,0,39.963,5.793,0,"d,a,b",5.716349592,0.14
920,4.381,68.231,6.344,0,40.603,5.276,0,"b,c,a",6.400220681,0.16
479,4.217,64.047,6.504,1,41.139,0.913,0,"b,c,a,d",6.325184502,0.15
338,3.472,76.8,5.474,1,43.149,4.316,0,"a,d",7.882535623,0.18
437,6.628,75.638,9.898,0,43.647,5.098,0,b,4.409678723,0.10
852,3.912,83.25,6.006,3,44.038,1.22,0,"b,a",7.332334332,0.17
521,8.941,65.217,3.326,3,44.237,4.75,0,d,13.30036079,0.30
828,7.455,85.167,5.555,3,46.624,2.55,0,"b,c,d,a",8.393159316,0.18
281,8.189,88.427,9.366,1,49.111,1.052,0,c,5.243540466,0.11
343,5.141,75.315,5.833,1,50.17,2.458,0,c,8.601062918,0.17
896,4.805,59.935,7.387,1,51.395,5.023,0,"b,c,a",6.957492893,0.14
417,4.01,68.326,8.38,3,52.876,0.336,0,"b,d,c",6.309785203,0.12
597,8.711,51.016,6.064,3,53.135,0.383,0,"c,a",8.762368074,0.16
562,2.082,51.016,6.546,3,57.877,3.302,0,a,8.841582646,0.15
49,0.104,80.462,7.528,1,60.104,4.054,0,"c,a",7.984059511,0.13
559,5.359,71.02,7.162,2,60.974,3.021,0,"c,a,d,b",8.513543703,0.14
62,10.274,64.257,5.407,2,61.041,1.817,0,"c,a",11.28925467,0.18
980,5.646,77.573,7.867,2,61.103,2.247,0,b,7.767001398,0.13
754,5.444,86.768,10.805,2,61.33,7.006,0,c,5.676075891,0.09
586,5340,91.224,8.429,2,67.321,2.933,0,"c,a",7.986831178,0.12
77,2.943,72.097,9.674,2,68.136,2.139,0,d,7.0432086,0.10
333,4.968,68.927,9.665,2,68.254,2.305,0,"c,b,d,a",7.061976203,0.10
45,12,82.678,9.107,2,68.502,0.239,0,"d,b",7.521906226,0.11
424,7.043,73.78,8.059,2,68.626,3.606,0,"b,a",8.515448567,0.12
433,6.434,73.78,7.105,3,69.169,3.756,0,"b,d,c",9.735256861,0.14
121,11.243,72.49,6.011,4,69.878,2.578,0,"b,c",11.6250208,0.17
239,8.899,83.001,10.3,2,71.446,6.443,0,"a,c,b,d",6.936504854,0.10
771,9.827,63.155,6.066,1,71.577,5.25,0,a,11.79970326,0.16
26,6.602,56.941,9.59,2,71.716,2.233,0,"c,b",7.478206465,0.10
880,4.17,81.742,9.809,1,74.992,3.655,0,a,7.645223774,0.10
264,4.49,68.274,9.971,1,78.114,3.975,0,"b,d,c,a",7.834118945,0.10
885,8.482,54.953,7.693,4,78.854,1.379,0,"c,b",10.25009749,0.13
